C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/21/2017,08:00:00,REGULAR,0005374025,0007409233                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/21/2017,12:00:00,REGULAR,0005374109,0007409381                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/21/2017,16:00:00,REGULAR,0005374270,0007409577                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/21/2017,20:00:00,REGULAR,0005374490,0007409764                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/22/2017,00:00:00,REGULAR,0005374622,0007409844                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/22/2017,04:00:00,REGULAR,0005374631,0007409861                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/22/2017,08:00:00,REGULAR,0005374673,0007410198                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/22/2017,12:00:00,REGULAR,0005374853,0007410815                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/22/2017,16:00:00,REGULAR,0005375121,0007411017                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/22/2017,20:00:00,REGULAR,0005375676,0007411341                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/23/2017,00:00:00,REGULAR,0005375903,0007411436                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/23/2017,04:00:00,REGULAR,0005375921,0007411443                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/23/2017,08:00:00,REGULAR,0005375956,0007411778                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/23/2017,12:00:00,REGULAR,0005376174,0007412404                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/23/2017,16:00:00,REGULAR,0005376489,0007412669                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/23/2017,20:00:00,REGULAR,0005377124,0007413013                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/24/2017,00:00:00,REGULAR,0005377349,0007413139                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/24/2017,04:00:00,REGULAR,0005377374,0007413148                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/24/2017,08:00:00,REGULAR,0005377427,0007413466                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/24/2017,12:00:00,REGULAR,0005377693,0007414103                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/24/2017,16:00:00,REGULAR,0005377987,0007414405                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/24/2017,20:00:00,REGULAR,0005378608,0007414733                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/25/2017,00:00:00,REGULAR,0005378861,0007414864                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/25/2017,04:00:00,REGULAR,0005378887,0007414870                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/25/2017,08:00:00,REGULAR,0005378931,0007415141                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/25/2017,12:00:00,REGULAR,0005379136,0007415747                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/25/2017,16:00:00,REGULAR,0005379457,0007415980                                            
