C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/06/2017,08:00:00,REGULAR,0005359574,0007389206                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/06/2017,12:00:00,REGULAR,0005359681,0007389439                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/06/2017,16:00:00,REGULAR,0005359917,0007389686                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/06/2017,20:00:00,REGULAR,0005360185,0007389896                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/07/2017,00:00:00,REGULAR,0005360348,0007390006                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/07/2017,04:00:00,REGULAR,0005360370,0007390022                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/07/2017,08:00:00,REGULAR,0005360389,0007390072                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/07/2017,12:00:00,REGULAR,0005360468,0007390292                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/07/2017,16:00:00,REGULAR,0005360651,0007390565                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/07/2017,20:00:00,REGULAR,0005360876,0007390755                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/08/2017,00:00:00,REGULAR,0005361044,0007390849                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/08/2017,04:00:00,REGULAR,0005361064,0007390858                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/08/2017,08:00:00,REGULAR,0005361112,0007391195                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/08/2017,12:00:00,REGULAR,0005361317,0007391827                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/08/2017,16:00:00,REGULAR,0005361582,0007392065                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/08/2017,20:00:00,REGULAR,0005362199,0007392389                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/09/2017,00:00:00,REGULAR,0005362448,0007392505                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/09/2017,04:00:00,REGULAR,0005362462,0007392510                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/09/2017,08:00:00,REGULAR,0005362510,0007392850                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/09/2017,12:00:00,REGULAR,0005362722,0007393451                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/09/2017,16:00:00,REGULAR,0005363033,0007393698                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/09/2017,20:00:00,REGULAR,0005363684,0007393984                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/10/2017,00:00:00,REGULAR,0005363920,0007394105                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/10/2017,04:00:00,REGULAR,0005363944,0007394115                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/10/2017,08:00:00,REGULAR,0005363978,0007394468                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/10/2017,12:00:00,REGULAR,0005364145,0007395153                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/10/2017,16:00:00,REGULAR,0005364447,0007395386                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/10/2017,20:00:00,REGULAR,0005365066,0007395646                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/11/2017,00:00:00,REGULAR,0005365313,0007395813                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/11/2017,04:00:00,REGULAR,0005365336,0007395829                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/11/2017,08:00:00,REGULAR,0005365380,0007396155                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/11/2017,12:00:00,REGULAR,0005365554,0007396824                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/11/2017,16:00:00,REGULAR,0005365850,0007397076                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/11/2017,20:00:00,REGULAR,0005366439,0007397395                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/12/2017,00:00:00,REGULAR,0005366712,0007397531                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/12/2017,04:00:00,REGULAR,0005366742,0007397539                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/12/2017,08:00:00,REGULAR,0005366813,0007397871                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/12/2017,12:00:00,REGULAR,0005367000,0007398473                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/12/2017,16:00:00,REGULAR,0005367279,0007398703                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/12/2017,20:00:00,REGULAR,0005367956,0007399022                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/06/2017,00:00:00,REGULAR,0004990800,0005915849                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/06/2017,04:00:00,REGULAR,0004990828,0005915860                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/06/2017,08:00:00,REGULAR,0004990845,0005915929                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/06/2017,12:00:00,REGULAR,0004990935,0005916126                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/06/2017,16:00:00,REGULAR,0004991147,0005916278                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/06/2017,20:00:00,REGULAR,0004991377,0005916403                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/07/2017,00:00:00,REGULAR,0004991513,0005916461                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/07/2017,04:00:00,REGULAR,0004991534,0005916479                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/07/2017,08:00:00,REGULAR,0004991551,0005916514                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/07/2017,12:00:00,REGULAR,0004991618,0005916676                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/07/2017,16:00:00,REGULAR,0004991750,0005916843                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/07/2017,20:00:00,REGULAR,0004991945,0005916957                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/08/2017,00:00:00,REGULAR,0004992058,0005917014                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/08/2017,04:00:00,REGULAR,0004992086,0005917016                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/08/2017,08:00:00,REGULAR,0004992134,0005917325                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/08/2017,12:00:00,REGULAR,0004992352,0005917795                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/08/2017,16:00:00,REGULAR,0004992583,0005917966                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/08/2017,20:00:00,REGULAR,0004993195,0005918161                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/09/2017,00:00:00,REGULAR,0004993382,0005918210                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/09/2017,04:00:00,REGULAR,0004993394,0005918215                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/09/2017,08:00:00,REGULAR,0004993442,0005918560                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,05/09/2017,12:00:00,REGULAR,0004993638,0005919049                                            
