C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/18/2017,20:00:00,REGULAR,0000288783,0000470288                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/19/2017,00:00:00,REGULAR,0000289154,0000470500                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/19/2017,04:00:00,REGULAR,0000289157,0000470500                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/19/2017,08:00:00,REGULAR,0000289206,0000470764                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/19/2017,12:00:00,REGULAR,0000289447,0000471316                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/19/2017,16:00:00,REGULAR,0000289856,0000471716                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/19/2017,20:00:00,REGULAR,0000290691,0000472181                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/13/2017,00:00:00,REGULAR,0005368197,0007399121                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/13/2017,04:00:00,REGULAR,0005368245,0007399147                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/13/2017,08:00:00,REGULAR,0005368267,0007399235                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/13/2017,12:00:00,REGULAR,0005368373,0007399454                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/13/2017,16:00:00,REGULAR,0005368584,0007399673                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/13/2017,20:00:00,REGULAR,0005368812,0007399861                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/14/2017,00:00:00,REGULAR,0005368979,0007399927                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/14/2017,04:00:00,REGULAR,0005369007,0007399948                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/14/2017,08:00:00,REGULAR,0005369024,0007399992                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/14/2017,12:00:00,REGULAR,0005369120,0007400196                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/14/2017,16:00:00,REGULAR,0005369309,0007400415                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/14/2017,20:00:00,REGULAR,0005369523,0007400620                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/15/2017,00:00:00,REGULAR,0005369668,0007400705                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/15/2017,04:00:00,REGULAR,0005369677,0007400714                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/15/2017,08:00:00,REGULAR,0005369715,0007401025                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/15/2017,12:00:00,REGULAR,0005369879,0007401684                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/15/2017,16:00:00,REGULAR,0005370154,0007401966                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/15/2017,20:00:00,REGULAR,0005370783,0007402257                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/16/2017,00:00:00,REGULAR,0005371010,0007402371                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/16/2017,04:00:00,REGULAR,0005371031,0007402380                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/16/2017,08:00:00,REGULAR,0005371071,0007402715                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/16/2017,12:00:00,REGULAR,0005371284,0007403364                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/16/2017,16:00:00,REGULAR,0005371577,0007403600                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/16/2017,20:00:00,REGULAR,0005372263,0007404009                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/17/2017,00:00:00,REGULAR,0005372531,0007404138                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/17/2017,04:00:00,REGULAR,0005372534,0007404141                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/17/2017,08:00:00,REGULAR,0005372571,0007404478                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/17/2017,12:00:00,REGULAR,0005372752,0007405088                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/17/2017,16:00:00,REGULAR,0005373050,0007405360                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/17/2017,20:00:00,REGULAR,0005373666,0007405689                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/18/2017,00:00:00,REGULAR,0005373742,0007405796                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/18/2017,04:00:00,REGULAR,0005373742,0007405797                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,05/18/2017,08:00:00,REGULAR,0005373742,0007406058                                            
