,kepid,digits,KeplerName,Disposition
459,2157247,K00997.01,,FALSE POSITIVE
460,7601633,K00136.01,,FALSE POSITIVE
461,8242681,K01065.01,,FALSE POSITIVE
462,8260218,K01066.01,,CANDIDATE
463,8246781,K01067.01,,FALSE POSITIVE
464,8264070,K01068.01,,FALSE POSITIVE
465,8222813,K01069.01,Kepler-760 b,CANDIDATE
466,6359320,K01127.02,Kepler-269 c,CANDIDATE
467,6359320,K01127.03,,CANDIDATE
468,6362874,K01128.01,Kepler-775 b,CANDIDATE
469,6272413,K01129.01,Kepler-776 b,CANDIDATE
470,8279765,K01130.01,,FALSE POSITIVE
471,8330548,K01132.01,,FALSE POSITIVE
472,3348082,K01196.01,,FALSE POSITIVE
473,3853673,K01197.01,,FALSE POSITIVE
474,3447722,K01198.01,Kepler-275 c,CANDIDATE
475,3447722,K01198.02,Kepler-275 b,CANDIDATE
476,3447722,K01198.03,Kepler-275 d,CANDIDATE
477,3447722,K01198.04,,CANDIDATE
478,1432214,K00998.01,,FALSE POSITIVE
479,2165002,K00999.01,Kepler-263 b,CANDIDATE
480,2165002,K00999.02,Kepler-263 c,CANDIDATE
481,2441728,K01000.01,,FALSE POSITIVE
482,1871056,K01001.01,Kepler-264 b,CANDIDATE
483,8222813,K01069.02,Kepler-760 c,CANDIDATE
484,12105051,K00141.01,,CANDIDATE
485,8240904,K01070.01,Kepler-266 b,CANDIDATE
486,8240904,K01070.02,Kepler-266 c,CANDIDATE
487,8240904,K01070.03,,CANDIDATE
488,8374494,K01133.01,,FALSE POSITIVE
489,5735762,K00148.02,Kepler-48 c,CANDIDATE
490,8414907,K01134.01,,FALSE POSITIVE
491,8414907,K01134.02,,FALSE POSITIVE
492,8397446,K01135.01,,FALSE POSITIVE
493,8386035,K01136.01,,FALSE POSITIVE
494,3962243,K01203.02,Kepler-276 b,CANDIDATE
495,3962243,K01203.03,Kepler-276 d,CANDIDATE
496,3438507,K01204.01,Kepler-788 b,CANDIDATE
497,3869014,K01205.01,Kepler-789 b,CANDIDATE
498,3756801,K01206.01,,CANDIDATE
499,1871056,K01001.02,Kepler-264 c,CANDIDATE
500,1865042,K01002.01,Kepler-746 b,CANDIDATE
501,2438502,K01003.01,,FALSE POSITIVE
502,2309585,K01004.01,,FALSE POSITIVE
503,5780460,K01005.01,Kepler-747 b,CANDIDATE
504,8244190,K01071.01,,FALSE POSITIVE
505,8229696,K01072.01,Kepler-761 b,CANDIDATE
